0;;;;;;;;;;;;
3;0.388184;0.450195;-0.562012;0.575135;0.0078125;0.00390625;0.00390625;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674367;-0.58252;0.399414;0.0078125;-0.0195313;0.0234375;-0.171875;0.226563;-0.964844;-0.109375;-0.441406;0.925781
5;0.722608;0.35498;-0.541016;-0.243164;0.00390625;0;0.0117188;0.769531;-0.625;-0.03125;-0.457031;0.171875;-0.03125
0.148;;;;;;;;;;;;
1;0.334961;0.788153;-0.40918;0.314941;0.0078125;0.00390625;0;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.67705;0.294922;-0.271484;0.617188;0.015625;-0.0195313;0.0273438;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388184;0.450195;-0.562012;0.575135;0.0117188;0;0;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674367;-0.58252;0.399414;0.00390625;-0.0234375;0.0234375;-0.175781;0.226563;-0.964844;-0.109375;-0.441406;0.925781
5;0.722443;0.35498;-0.541016;-0.243652;0.0078125;-0.0078125;0;0.769531;-0.625;-0.03125;-0.457031;0.171875;-0.03125
0.178;;;;;;;;;;;;
1;0.334961;0.788153;-0.40918;0.314941;0;0.00390625;0.0078125;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.67705;0.294922;-0.271484;0.617188;0.015625;-0.0117188;0.0234375;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388184;0.450195;-0.5625;0.574658;0.0234375;0;0.0234375;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.214844;0.674101;-0.583008;0.399414;0.0117188;-0.0390625;0.0351563;-0.175781;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722683;0.354492;-0.541016;-0.243652;-0.00390625;0.00390625;0.0195313;0.769531;-0.625;-0.03125;-0.457031;0.171875;-0.03125
0.189;;;;;;;;;;;;
1;0.334961;0.788153;-0.40918;0.314941;0;0.00390625;0.0078125;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.67705;0.294922;-0.271484;0.617188;0.0078125;-0.0195313;0.0195313;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388184;0.450195;-0.5625;0.574658;0.0234375;0;0.015625;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.214844;0.67439;-0.583008;0.398926;0.0195313;-0.0390625;0.0234375;-0.175781;0.226563;-0.964844;-0.113281;-0.441406;0.925781
